month,monthly_release,cumulative_circulating,circulating_percent,locked_tokens
1,1444444.4444444445,15000000.0,15.0,85000000.0
2,1444444.4444444445,16444444.444444444,16.444444444444446,83555555.55555555
3,1444444.4444444445,17888888.888888888,17.888888888888886,82111111.1111111
4,2277777.777777778,20166666.666666664,20.166666666666664,79833333.33333334
5,2277777.777777778,22444444.44444444,22.44444444444444,77555555.55555555
6,2277777.777777778,24722222.222222216,24.722222222222218,75277777.77777779
7,2833333.3333333335,27555555.55555555,27.55555555555555,72444444.44444445
8,2833333.3333333335,30388888.88888888,30.388888888888882,69611111.11111112
9,2833333.3333333335,33222222.222222213,33.222222222222214,66777777.77777779
10,2833333.3333333335,36055555.555555545,36.05555555555554,63944444.444444455
11,2833333.3333333335,38888888.88888888,38.88888888888888,61111111.11111112
12,2833333.3333333335,41722222.22222222,41.722222222222214,58277777.77777778
13,2950000.0,44672222.22222222,44.67222222222222,55327777.77777778
14,2950000.0,47622222.22222222,47.62222222222221,52377777.77777778
15,2950000.0,50572222.22222222,50.572222222222216,49427777.77777778
16,2950000.0,53522222.22222222,53.52222222222222,46477777.77777778
17,2950000.0,56472222.22222222,56.472222222222214,43527777.77777778
18,2950000.0,59422222.22222222,59.42222222222222,40577777.77777778
19,2950000.0,62372222.22222222,62.37222222222222,37627777.77777778
20,2950000.0,65322222.22222222,65.32222222222221,34677777.77777778
21,2950000.0,68272222.22222221,68.27222222222221,31727777.77777779
22,2116666.6666666665,70388888.88888888,70.38888888888889,29611111.11111112
23,2116666.6666666665,72505555.55555555,72.50555555555556,27494444.444444448
24,2116666.6666666665,74622222.22222222,74.62222222222222,25377777.777777776
25,1366666.6666666667,75988888.8888889,75.9888888888889,24011111.111111104
26,1366666.6666666667,77355555.55555557,77.35555555555557,22644444.444444433
27,1366666.6666666667,78722222.22222224,78.72222222222224,21277777.77777776
28,1366666.6666666667,80088888.88888891,80.0888888888889,19911111.11111109
29,1366666.6666666667,81455555.55555558,81.45555555555558,18544444.444444418
30,1366666.6666666667,82822222.22222225,82.82222222222225,17177777.777777746
31,1366666.6666666667,84188888.88888893,84.18888888888893,15811111.111111075
32,1366666.6666666667,85555555.5555556,85.5555555555556,14444444.444444403
33,1366666.6666666667,86922222.22222227,86.92222222222227,13077777.777777731
34,1366666.6666666667,88288888.88888894,88.28888888888893,11711111.11111106
35,1366666.6666666667,89655555.55555561,89.65555555555561,10344444.444444388
36,1366666.6666666667,91022222.22222228,91.02222222222228,8977777.777777717
