month,projected_price,market_cap,utility_multiplier,scarcity_premium
1,0.31,4583333.0,1.1,3.33
2,0.61,10000000.0,1.2,3.04
3,0.91,16250000.0,1.3,2.8
4,1.16,23333333.0,1.4,2.48
5,1.39,31250000.0,1.5,2.23
6,1.62,40000000.0,1.6,2.02
7,1.8,49583333.0,1.7,1.81
8,1.97,60000000.0,1.8,1.65
9,2.14,71250000.0,1.9,1.51
10,2.31,83333333.0,2.0,1.39
11,2.48,96250000.0,2.1,1.29
12,2.64,110000000.0,2.2,1.2
13,2.79,124583333.0,2.3,1.12
14,2.94,140000000.0,2.4,1.05
15,3.09,156250000.0,2.5,0.99
16,3.24,173333333.0,2.6,0.93
17,3.39,191250000.0,2.7,0.89
18,3.53,210000000.0,2.8,0.84
19,3.68,229583333.0,2.9,0.8
20,3.83,250000000.0,3.0,0.77
21,3.97,271250000.0,3.1,0.73
22,4.17,293333333.0,3.2,0.71
23,4.36,316250000.0,3.3,0.69
24,4.56,340000000.0,3.4,0.67
25,4.8,364583333.0,3.5,0.66
26,5.04,390000000.0,3.6,0.65
27,5.29,416250000.0,3.7,0.64
28,5.54,443333333.0,3.8,0.62
29,5.79,471250000.0,3.9,0.61
30,6.04,500000000.0,4.0,0.6
31,6.29,529583333.0,4.1,0.59
32,6.55,560000000.0,4.2,0.58
33,6.8,591250000.0,4.3,0.58
34,7.06,623333333.0,4.4,0.57
35,7.32,656250000.0,4.5,0.56
36,7.58,690000000.0,4.6,0.55
